title,link,guid,description,pubDate
"b""Scotland's AI Strategy: Trustworthy, Ethical & Inclusive""",b'http://www.govevents.com/details/49323/scotlands-ai-strategy-trustworthy-ethical-and-inclusive/',b'http://www.govevents.com/details/49323/scotlands-ai-strategy-trustworthy-ethical-and-inclusive/'," Find out about Scotland&amp;rsquo;s AI Strategy: Trustworthy, Ethical and Inclusive. Scotland&amp;rsquo;s AI Strategy sets out a vision for Scotland to bec...","December 16, 2021 "
b'Tyndall AFB Tech Expo',b'http://www.govevents.com/details/14968/tyndall-afb-tech-expo/',b'http://www.govevents.com/details/14968/tyndall-afb-tech-expo/'," Join NCSI for an In-Agency Event Tyndall AFB Tech Expo December 16, 2021 Each year NCSI produces over 100 tabletop technology expos at U.S. Departm...","December 16, 2021 "
b'Oregon Information Technology/Telecommunication Regional Resiliency Assessment Program (RRAP)  Kick Off',b'http://www.govevents.com/details/51517/oregon-information-technologytelecommunication-regional-resiliency-assessment-program-rrap-kick-off/',b'http://www.govevents.com/details/51517/oregon-information-technologytelecommunication-regional-resiliency-assessment-program-rrap-kick-off/', 2021-Oregon Information Technology/Telecommunication Regional Resiliency Assessment Program (RRAP) Hosted by Oregon&amp;rsquo;s State Resilience Office...,"December 16, 2021 "
b'TMF Forward',b'http://www.govevents.com/details/48285/tmf-forward/',b'http://www.govevents.com/details/48285/tmf-forward/'," The pandemic showed that Federal computer systems are aging, redundant, and struggling. Congress appropriated $1 billion to the Technology Moderniz...","December 16, 2021 "
b'govDelivery Advanced Bulletin Training Session',b'http://www.govevents.com/details/49879/govdelivery-advanced-bulletin-training-session/',b'http://www.govevents.com/details/49879/govdelivery-advanced-bulletin-training-session/', We offer weekly live training sessions for the most commonly used features in govDelivery. These training sessions last roughly an hour and are con...,"December 16, 2021 "
"b'Build a Modern Identity Infrastructure: From the Ground, to the Cloud'",b'http://www.govevents.com/details/50924/build-a-modern-identity-infrastructure-from-the-ground-to-the-cloud/',b'http://www.govevents.com/details/50924/build-a-modern-identity-infrastructure-from-the-ground-to-the-cloud/'," Join Chad Peterson, Senior Sales Engineer at Okta, as he discusses how to retire costly legacy infrastructure and complex code development by moder...","December 16, 2021 "
"b""Dear Security, Compliance, and Auditors, We're Sorry. Love, DevOps""",b'http://www.govevents.com/details/51154/dear-security-compliance-and-auditors-were-sorry-love-devops/',b'http://www.govevents.com/details/51154/dear-security-compliance-and-auditors-were-sorry-love-devops/'," DevOps solved the Developer and Operators conflict, although forgot other essential folks of the delivery lifecycle: Security, Compliance, and Audi...","December 16, 2021 "
b'Tech Talk: All the Fixings with Identity and Endpoint Protection',b'http://www.govevents.com/details/51254/tech-talk-all-the-fixings-with-identity-and-endpoint-protection/',b'http://www.govevents.com/details/51254/tech-talk-all-the-fixings-with-identity-and-endpoint-protection/'," Just like the best holiday meals, our shared partnerships and technologies come together for a complete offering. Join the December Tech Talk as we...","December 16, 2021 "
b'Financial Planning For Federal Employees with Ed Zurndorfer',b'http://www.govevents.com/details/51440/financial-planning-for-federal-employees-with-ed-zurndorfer/',b'http://www.govevents.com/details/51440/financial-planning-for-federal-employees-with-ed-zurndorfer/'," Join us for a virtual retirement benefits webinar for Federal Government Employees. From a local &amp;ldquo;federal benefits guru,&amp;rdquo; Ed Zurndorfer...","December 16, 2021 "
b'Thinking Out Cloud: How the Cloud Is Transforming Research',b'http://www.govevents.com/details/51549/thinking-out-cloud-how-the-cloud-is-transforming-research/',b'http://www.govevents.com/details/51549/thinking-out-cloud-how-the-cloud-is-transforming-research/', This webinar is a part of the EDUCAUSE Industry &amp;amp; Campus Solutions series. Researchers today need to analyze and store massive amounts of data...,"December 16, 2021 "
"b""Contractor's Performance Assessment Reporting System (CPARS)""",b'http://www.govevents.com/details/51694/contractors-performance-assessment-reporting-system-cpars/',b'http://www.govevents.com/details/51694/contractors-performance-assessment-reporting-system-cpars/'," When you are looking for a good contractor to do work on your house, you may likely go to Consumer Reports, Angie&amp;rsquo;s List, the Better Business...","December 16, 2021 "
